# The Vault (MGC 08:30 Range Fade) - best return-on-drawdown window 05 Jan 2026 to 31 Jul 2026 - closed trades at Multiplier 18 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
15 Apr 26,4922.9,4916.6,-1177.2,L,rf long,18.0,-0.1328
17 Apr 26,4951.8,4965.1,-2437.2000000000003,S,rf short,18.0,-0.2734
20 Apr 26,4927.7,4937.5,-1807.2,S,rf short,18.0,-0.2037
21 Apr 26,4878.5,4879.2,82.8,L,rf long,18.0,0.0094
22 Apr 26,4851.8,4852.5,82.8,L,rf long,18.0,0.0095
23 Apr 26,4837.8,4838.5,82.8,L,rf long,18.0,0.0095
24 Apr 26,4799.5,4850.1,9064.800000000001,L,rf long,18.0,1.0493
27 Apr 26,4797.0,4784.1,-2365.2000000000003,L,rf long,18.0,-0.2739
28 Apr 26,4706.7,4687.5,3412.7999999999997,S,rf short,18.0,0.4028
30 Apr 26,4750.1,4724.0,4654.8,S,rf short,18.0,0.5444
04 May 26,4682.4,4636.6,8200.800000000001,S,rf short,18.0,0.973
05 May 26,4667.6,4679.2,2044.8,L,rf long,18.0,0.2434
06 May 26,4778.5,4796.7,3232.7999999999997,L,rf long,18.0,0.3759
07 May 26,4861.6,4860.9,82.8,S,rf short,18.0,0.0095
08 May 26,4847.4,4813.7,6022.8,S,rf short,18.0,0.6903
11 May 26,4789.1,4834.8,8182.8,L,rf long,18.0,0.9492
13 May 26,4792.3,4791.6,82.8,S,rf short,18.0,0.0096
14 May 26,4788.2,4773.6,-2671.2000000000003,L,rf long,18.0,-0.3099
15 May 26,4658.4,4657.7,82.8,S,rf short,18.0,0.0099
18 May 26,4682.5,4633.6,8758.800000000001,S,rf short,18.0,1.0392
19 May 26,4626.7,4615.0,-2149.2000000000003,L,rf long,18.0,-0.2581
20 May 26,4604.6,4603.9,82.8,S,rf short,18.0,0.01
22 May 26,4623.6,4612.9,1882.8,S,rf short,18.0,0.2262
26 May 26,4613.6,4601.5,2134.7999999999997,S,rf short,18.0,0.2571
27 May 26,4528.2,4513.8,-2635.2000000000003,L,rf long,18.0,-0.3233
28 May 26,4502.5,4516.6,-2581.2000000000003,S,rf short,18.0,-0.3185
01 Jun 26,4580.3,4566.5,-2527.2000000000003,L,rf long,18.0,-0.3065
02 Jun 26,4606.8,4595.5,-2077.2000000000003,L,rf long,18.0,-0.2505
03 Jun 26,4556.4,4529.0,4888.8,S,rf short,18.0,0.5961
04 Jun 26,4595.0,4601.5,-1213.2,S,rf short,18.0,-0.1467
05 Jun 26,4516.3,4498.9,-3175.2000000000003,L,rf long,18.0,-0.3906
08 Jun 26,4405.7,4423.5,3160.7999999999997,L,rf long,18.0,0.3986
09 Jun 26,4430.8,4430.1,82.8,S,rf short,18.0,0.0104
10 Jun 26,4227.4,4228.1,82.8,L,rf long,18.0,0.0109
11 Jun 26,4169.9,4169.2,82.8,S,rf short,18.0,0.011
12 Jun 26,4266.2,4266.9,82.8,L,rf long,18.0,0.0108
15 Jun 26,4433.1,4441.4,-1537.2,S,rf short,18.0,-0.1926
17 Jun 26,4416.2,4422.5,-1177.2,S,rf short,18.0,-0.1481
18 Jun 26,4310.1,4312.0,298.8,L,rf long,18.0,0.0385
19 Jun 26,4221.5,4227.9,1108.8,L,rf long,18.0,0.1459
22 Jun 26,4276.3,4270.7,-1051.2,L,rf long,18.0,-0.1366
23 Jun 26,4188.8,4217.1,5050.8,L,rf long,18.0,0.6699
24 Jun 26,4075.5,4061.0,-2653.2000000000003,L,rf long,18.0,-0.3617
25 Jun 26,4096.4,4095.7,82.8,S,rf short,18.0,0.0112
26 Jun 26,4132.3,4131.6,82.8,S,rf short,18.0,0.0111
29 Jun 26,4126.5,4078.8,8542.800000000001,S,rf short,18.0,1.1501
01 Jul 26,4092.0,4139.4,8488.800000000001,L,rf long,18.0,1.1525
03 Jul 26,4243.3,4238.4,-925.1999999999999,L,rf long,18.0,-0.1211
07 Jul 26,4245.2,4244.5,82.8,S,rf short,18.0,0.0108
08 Jul 26,4156.4,4108.1,8650.800000000001,S,rf short,18.0,1.1563
14 Jul 26,4137.5,4138.2,82.8,L,rf long,18.0,0.0111
16 Jul 26,4046.6,4047.3,82.8,L,rf long,18.0,0.0114
20 Jul 26,4084.5,4075.7,1540.8,S,rf short,18.0,0.2096
22 Jul 26,4185.1,4176.6,-1573.2,L,rf long,18.0,-0.2088
23 Jul 26,4120.7,4109.1,-2131.2000000000003,L,rf long,18.0,-0.2873
24 Jul 26,4109.9,4139.8,5338.8,L,rf long,18.0,0.7217
27 Jul 26,4141.8,4135.3,-1213.2,L,rf long,18.0,-0.1627
30 Jul 26,4123.6,4160.1,6526.8,L,rf long,18.0,0.8793
31 Jul 26,4093.1,4083.4,-1789.2,L,rf long,18.0,-0.2428
