# Triad (MNQ Strong Book (3 legs)) - best return-on-drawdown window 01 Feb 2026 to 01 Sep 2026 - closed trades at Multiplier 3 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
26 May 26,30147.0,30141.75,54.0,S,Fvg short lim,6.0,0.0149
26 May 26,30144.25,30249.25,625.5,L,TT long lim,3.0,0.3458
26 May 26,30320.0,30335.75,180.0,L,Fvg long lim,6.0,0.0495
26 May 26,30320.0,30268.75,-624.0,L,Fvg long lim,6.0,-0.1715
26 May 26,30266.75,30302.5,420.0,L,Fvg long lim,6.0,0.1156
26 May 26,30266.75,30402.25,1617.0,L,Fvg long lim,6.0,0.4452
27 May 26,30539.5,30582.25,504.0,L,Fvg long lim,6.0,0.1375
27 May 26,30539.5,30584.0,525.0,L,Fvg long lim,6.0,0.1433
27 May 26,30578.0,30451.5,-1527.0,L,MWF long lim,6.0,-0.4161
27 May 26,30372.5,30314.75,-702.0,L,Fvg long lim,6.0,-0.1926
27 May 26,30372.5,30314.75,-702.0,L,Fvg long lim,6.0,-0.1926
28 May 26,30402.75,30297.75,625.5,S,TT short lim,3.0,0.3429
29 May 26,30622.0,30643.5,249.0,L,Fvg long lim,6.0,0.0678
29 May 26,30622.0,30627.25,54.0,L,Fvg long lim,6.0,0.0147
29 May 26,30750.0,30749.25,-18.0,L,Fvg long lim,6.0,-0.0049
29 May 26,30750.0,30749.25,-18.0,L,Fvg long lim,6.0,-0.0049
29 May 26,30770.25,30730.0,474.0,S,MWF short lim,6.0,0.1284
29 May 26,30697.25,30712.5,174.0,L,Fvg long lim,6.0,0.0472
29 May 26,30697.25,30702.5,54.0,L,Fvg long lim,6.0,0.0147
29 May 26,30697.25,30647.75,-603.0,L,Fvg long lim,6.0,-0.1637
29 May 26,30697.25,30647.75,-603.0,L,Fvg long lim,6.0,-0.1637
01 Jun 26,30778.5,30766.75,132.0,S,Fvg short lim,6.0,0.0357
01 Jun 26,30778.5,30734.0,525.0,S,Fvg short lim,6.0,0.1421
01 Jun 26,30764.0,30750.25,156.0,S,Fvg short lim,6.0,0.0423
01 Jun 26,30764.0,30711.75,618.0,S,Fvg short lim,6.0,0.1674
01 Jun 26,30658.5,30761.75,1230.0,L,MWF long lim,6.0,0.3343
01 Jun 26,30671.25,30761.75,538.5,L,MWF confirm add,3.0,0.2926
02 Jun 26,30735.25,30779.0,-534.0,S,Fvg short lim,6.0,-0.1448
02 Jun 26,30735.25,30779.0,-534.0,S,Fvg short lim,6.0,-0.1448
02 Jun 26,30831.0,30842.75,132.0,L,Fvg long lim,6.0,0.0357
02 Jun 26,30831.0,30874.5,513.0,L,Fvg long lim,6.0,0.1387
02 Jun 26,30784.75,30889.75,625.5,L,TT long lim,3.0,0.3386
02 Jun 26,30735.75,30889.75,919.5,L,TT long split,3.0,0.4986
02 Jun 26,30796.75,30889.75,553.5,L,TT confirm add,3.0,0.2995
02 Jun 26,31020.25,31035.5,174.0,L,Fvg long lim,6.0,0.0467
02 Jun 26,31020.25,30970.75,-603.0,L,Fvg long lim,6.0,-0.162
03 Jun 26,31021.75,31036.5,168.0,L,Fvg long lim,6.0,0.0451
03 Jun 26,31021.75,31077.25,657.0,L,Fvg long lim,6.0,0.1765
03 Jun 26,31021.75,31036.5,168.0,L,Fvg long lim,6.0,0.0451
03 Jun 26,31021.75,31077.25,657.0,L,Fvg long lim,6.0,0.1765
03 Jun 26,31071.75,30804.25,3201.0,S,MWF short lim,6.0,0.8585
03 Jun 26,30939.0,30891.5,561.0,S,Fvg short lim,6.0,0.1511
03 Jun 26,30939.0,30933.75,54.0,S,Fvg short lim,6.0,0.0145
03 Jun 26,30806.25,30789.75,189.0,S,Fvg short lim,6.0,0.0511
03 Jun 26,30806.25,30801.0,54.0,S,Fvg short lim,6.0,0.0146
04 Jun 26,30469.0,30574.0,625.5,L,TT long lim,3.0,0.3422
05 Jun 26,30279.75,30166.5,-1368.0,L,MWF long lim,6.0,-0.3765
05 Jun 26,30228.5,30155.25,870.0,S,Fvg short lim,6.0,0.2398
05 Jun 26,30228.5,29951.0,3321.0,S,Fvg short lim,6.0,0.9155
07 Jun 26,29249.25,29244.0,54.0,S,Fvg short lim,6.0,0.0154
