# The Bullion (MGC London Breakout) - best return-on-drawdown window 20 Feb 2026 to 04 Aug 2026 - closed trades at Multiplier 11 - hypothetical backtested results, commissions and slippage modeled
exit_day,entry_px,exit_px,net_pnl_usd,side,signal,qty,return_pct
24 Apr 26,4791.7,4801.1,1007.5999999999999,L,loL,11.0,0.1912
27 Apr 26,4818.4,4811.6,721.5999999999999,S,loS,11.0,0.1361
28 Apr 26,4733.9,4723.3,1139.6,S,loS,11.0,0.2188
29 Apr 26,4683.2,4672.0,1205.6,S,loS,11.0,0.234
30 Apr 26,4690.6,4718.0,-3040.3999999999996,S,loS,11.0,-0.5893
01 May 26,4703.0,4709.8,721.5999999999999,L,loL,11.0,0.1395
04 May 26,4689.3,4682.2,754.5999999999999,S,loS,11.0,0.1463
05 May 26,4659.6,4666.4,721.5999999999999,L,loL,11.0,0.1408
06 May 26,4776.5,4787.3,1161.6,L,loL,11.0,0.2211
07 May 26,4856.2,4848.0,-928.4000000000001,L,loL,11.0,-0.1738
08 May 26,4816.0,4805.7,1106.6,S,loS,11.0,0.2089
11 May 26,4775.2,4769.7,578.6,S,loS,11.0,0.1102
12 May 26,4801.4,4813.1,1260.6,L,loL,11.0,0.2387
13 May 26,4808.4,4780.6,-3084.3999999999996,L,loL,11.0,-0.5831
14 May 26,4804.0,4811.7,820.5999999999999,L,loL,11.0,0.1553
15 May 26,4686.7,4622.1,-7132.4,L,loL,11.0,-1.3835
18 May 26,4638.5,4631.7,721.5999999999999,S,loS,11.0,0.1414
19 May 26,4640.1,4630.0,1084.6,S,loS,11.0,0.2125
20 May 26,4583.2,4595.5,1326.6,L,loL,11.0,0.2631
21 May 26,4611.6,4605.2,677.6,S,loS,11.0,0.1336
22 May 26,4622.2,4627.4,545.6,L,loL,11.0,0.1073
25 May 26,4654.4,4651.2,325.6,S,loS,11.0,0.0636
26 May 26,4619.1,4611.3,831.5999999999999,S,loS,11.0,0.1637
27 May 26,4572.3,4564.7,809.5999999999999,S,loS,11.0,0.161
28 May 26,4483.6,4491.3,820.5999999999999,L,loL,11.0,0.1664
29 May 26,4606.1,4629.4,-2589.4,S,loS,11.0,-0.5111
01 Jun 26,4590.3,4582.0,886.5999999999999,S,loS,11.0,0.1756
02 Jun 26,4623.1,4615.4,820.5999999999999,S,loS,11.0,0.1614
03 Jun 26,4547.7,4536.9,1161.6,S,loS,11.0,0.2322
04 Jun 26,4548.9,4589.4,-4481.4,S,loS,11.0,-0.8956
05 Jun 26,4552.1,4562.4,1106.6,L,loL,11.0,0.221
08 Jun 26,4395.7,4408.3,1359.6,L,loL,11.0,0.2812
09 Jun 26,4407.9,4416.1,-928.4000000000001,S,loS,11.0,-0.1915
10 Jun 26,4279.9,4270.4,1018.5999999999999,S,loS,11.0,0.2164
11 Jun 26,4182.7,4187.3,479.6,L,loL,11.0,0.1042
12 Jun 26,4256.8,4270.9,-1577.4,S,loS,11.0,-0.3369
15 Jun 26,4397.2,4405.7,908.5999999999999,L,loL,11.0,0.1878
16 Jun 26,4411.0,4416.4,567.6,L,loL,11.0,0.117
17 Jun 26,4406.5,4401.4,534.6,S,loS,11.0,0.1103
18 Jun 26,4379.9,4371.7,875.5999999999999,S,loS,11.0,0.1817
19 Jun 26,4239.2,4250.1,1172.6,L,loL,11.0,0.2515
22 Jun 26,4275.4,4271.8,369.6,S,loS,11.0,0.0786
23 Jun 26,4186.6,4172.7,1502.6,S,loS,11.0,0.3263
24 Jun 26,4162.3,4157.5,501.6,S,loS,11.0,0.1096
25 Jun 26,4063.4,4075.1,1260.6,L,loL,11.0,0.282
26 Jun 26,4111.1,4117.7,699.6,L,loL,11.0,0.1547
29 Jun 26,4138.9,4104.8,-3777.3999999999996,L,loL,11.0,-0.8297
30 Jun 26,4105.4,4111.1,600.6,L,loL,11.0,0.133
01 Jul 26,4049.2,4061.7,1348.6,L,loL,11.0,0.3028
02 Jul 26,4139.3,4132.7,699.6,S,loS,11.0,0.1536
03 Jul 26,4243.6,4240.2,347.6,S,loS,11.0,0.0745
06 Jul 26,4226.6,4232.4,611.6,L,loL,11.0,0.1315
07 Jul 26,4204.1,4210.4,666.6,L,loL,11.0,0.1441
08 Jul 26,4186.6,4178.7,842.5999999999999,S,loS,11.0,0.183
09 Jul 26,4181.3,4189.1,831.5999999999999,L,loL,11.0,0.1808
10 Jul 26,4183.7,4169.8,-1555.4,L,loL,11.0,-0.338
13 Jul 26,4131.2,4142.8,1249.6,L,loL,11.0,0.275
14 Jul 26,4097.0,4104.8,831.5999999999999,L,loL,11.0,0.1845
15 Jul 26,4093.9,4088.2,600.6,S,loS,11.0,0.1334
16 Jul 26,4090.4,4086.1,446.6,S,loS,11.0,0.0993
17 Jul 26,4056.8,4048.4,897.5999999999999,S,loS,11.0,0.2011
20 Jul 26,4072.7,4077.2,468.6,L,loL,11.0,0.1046
21 Jul 26,4135.0,4126.8,875.5999999999999,S,loS,11.0,0.1925
22 Jul 26,4183.0,4188.0,523.6,L,loL,11.0,0.1138
23 Jul 26,4163.8,4148.0,1711.6,S,loS,11.0,0.3737
24 Jul 26,4112.0,4123.2,1205.6,L,loL,11.0,0.2665
27 Jul 26,4165.7,4142.2,-2611.4,L,loL,11.0,-0.5699
28 Jul 26,4112.8,4116.1,336.6,L,loL,11.0,0.0744
29 Jul 26,4106.6,4065.7,-4525.4,L,loL,11.0,-1.0018
30 Jul 26,4106.7,4117.9,1205.6,L,loL,11.0,0.2669
31 Jul 26,4132.4,4129.2,325.6,S,loS,11.0,0.0716
03 Aug 26,4114.0,4109.0,523.6,S,loS,11.0,0.1157
04 Aug 26,4122.6,4127.1,468.6,L,loL,11.0,0.1033
